Instance(217): 	 3.557068 4.513977 0.989904 
Instance(218): 	 3.743835 4.789734 0.789400 
Instance(219): 	 3.321960 4.410706 0.937844 
Instance(220): 	 3.594421 4.316223 0.999012 
Instance(221): 	 3.810852 4.367859 0.999786 
Instance(222): 	 3.869080 4.438171 0.996874 
Instance(223): 	 3.760315 4.137146 1.000000 
Instance(224): 	 3.945984 4.276672 1.000000 
Instance(225): 	 3.789978 4.103088 1.000000 
Instance(226): 	 3.700989 4.234924 0.999993 
Instance(227): 	 3.883362 4.401917 0.999139 
Instance(228): 	 3.973450 4.740295 0.638781 
Instance(229): 	 3.928406 4.675476 0.796447 
Instance(230): 	 3.700989 4.147034 0.999998 
Instance(231): 	 3.639465 4.467834 0.995592 
Instance(232): 	 3.759216 4.004211 1.000000 
Instance(233): 	 3.776794 4.149231 1.000000 
Instance(234): 	 3.747131 4.229431 1.000000 
Instance(235): 	 3.519714 4.279968 0.993613 
Instance(236): 	 3.858093 4.663391 0.862621 
Instance(237): 	 3.847107 4.392029 0.999424 
Instance(238): 	 3.944885 4.349182 0.999961 
Instance(239): 	 3.685608 4.410706 0.998863 
Instance(240): 	 3.688904 4.471130 0.995058 
Instance(241): 	 3.638367 4.388733 0.999179 
Instance(242): 	 3.784485 4.325012 0.999973 
Instance(243): 	 3.646057 4.343689 0.999702 
Instance(244): 	 3.733948 4.181091 1.000000 
Instance(245): 	 3.871277 4.752380 0.736312 
Instance(246): 	 3.320862 4.539246 0.949028 
Instance(247): 	 4.047058 4.333801 0.999998 
Instance(248): 	 3.728455 4.404114 0.999087 
Instance(249): 	 3.665833 4.549133 0.981619 
Instance(250): 	 3.576843 4.367859 0.998206 
Instance(251): 	 3.463684 4.595276 0.972416 
Instance(252): 	 3.987732 4.277771 1.000000 
Instance(253): 	 3.855896 4.292053 0.999999 
Instance(254): 	 3.426331 4.439270 0.979219 
Instance(255): 	 3.853699 4.408508 0.998897 
Instance(256): 	 3.672424 4.471130 0.995181 
Instance(257): 	 3.687805 4.411804 0.998831 
Instance(258): 	 3.780090 4.348083 0.999906 
Instance(259): 	 3.493347 4.266785 0.988891 
Instance(260): 	 3.809753 4.448059 0.996345 
Instance(261): 	 3.789978 4.179993 1.000000 
Instance(262): 	 3.612000 4.368958 0.999122 
Instance(263): 	 3.933899 4.383240 0.999655 
Instance(264): 	 3.575745 4.323914 0.998355 
Instance(265): 	 3.797668 4.526062 0.980530 
Instance(266): 	 3.660339 4.327209 0.999844 
Instance(267): 	 3.829529 4.667786 0.872915 
Instance(268): 	 3.757019 4.346985 0.999902 
Instance(269): 	 3.869080 4.289856 0.999999 
Instance(270): 	 3.675720 4.457947 0.996346 
Instance(271): 	 3.719666 4.516174 0.987327 
Instance(272): 	 3.625183 4.295349 0.999640 
Instance(273): 	 3.833923 4.475525 0.992120 
Instance(274): 	 3.680115 4.307434 0.999942 
Instance(275): 	 3.740540 4.083313 1.000000 
Instance(276): 	 3.546082 3.994324 0.991762 
Instance(277): 	 3.873474 4.056946 1.000000 
Instance(278): 	 3.729553 4.162415 1.000000 
Instance(279): 	 3.637268 4.605164 0.965220 
Instance(280): 	 3.782288 4.350281 0.999897 
Instance(281): 	 3.591125 4.428284 0.997385 
Instance(282): 	 3.282410 4.281067 0.874751 
Instance(283): 	 3.849304 4.376648 0.999707 
Instance(284): 	 3.757019 4.604065 0.949108 
Instance(285): 	 3.742737 4.682068 0.896390 
Instance(286): 	 3.844910 4.415100 0.998608 
Instance(287): 	 3.803162 4.117371 1.000000 
Instance(288): 	 3.838318 4.484314 0.990191 
Instance(289): 	 3.641663 4.448059 0.997048 
Instance(290): 	 3.802063 4.429382 0.997896 
Instance(291): 	 3.686707 4.209656 0.999987 
Instance(292): 	 3.705383 4.215149 0.999996 
Instance(293): 	 3.803162 4.231628 1.000000 
Instance(294): 	 3.885559 4.325012 0.999989 
Instance(295): 	 3.527405 4.470032 0.992637 
Instance(296): 	 3.576843 4.477722 0.994143 
Instance(297): 	 3.863586 4.328308 0.999982 
Instance(298): 	 3.844910 4.501892 0.985311 
Instance(299): 	 3.583435 4.377747 0.998335 
Instance(300): 	 3.665833 4.282166 0.999930 
Instance(301): 	 3.726257 4.352478 0.999857 
Instance(302): 	 3.675720 4.417297 0.998625 
Instance(303): 	 3.735046 4.187683 1.000000 
Instance(304): 	 3.460388 4.138245 0.968351 
Instance(305): 	 3.704285 4.607361 0.956102 
Instance(306): 	 3.892151 4.443665 0.996068 
Instance(307): 	 3.555969 4.266785 0.997161 
Instance(308): 	 3.952576 4.997375 0.325193 
Instance(309): 	 3.392273 4.027283 0.862550 
Instance(310): 	 3.877869 4.357971 0.999897 
Instance(311): 	 3.991028 4.367859 0.999891 
Instance(312): 	 3.987732 4.287659 1.000000 
Instance(313): 	 3.964661 4.382141 0.999696 
Instance(314): 	 3.394470 4.014099 0.856099 
Instance(315): 	 4.072327 4.545837 0.887375 
Instance(316): 	 3.971252 4.200867 1.000000 
Instance(317): 	 3.751526 4.412903 0.998794 
Instance(318): 	 3.566956 4.187683 0.997611 
Instance(319): 	 3.540588 4.033875 0.991740 
Instance(320): 	 3.810852 4.242615 1.000000 
Instance(321): 	 3.635071 4.573303 0.976431 
Instance(322): 	 3.837219 4.176697 1.000000 
Instance(323): 	 3.789978 4.161316 1.000000 
Instance(324): 	 3.700989 4.476624 0.994327 
Instance(325): 	 3.961365 4.542542 0.946176 
Instance(326): 	 3.726257 4.443665 0.997217 
Instance(327): 	 3.939392 4.456848 0.993131 
Instance(328): 	 3.908630 4.430481 0.997356 
Instance(329): 	 3.619690 4.298645 0.999562 
Instance(330): 	 3.768005 4.189880 1.000000 
Instance(331): 	 3.380188 4.127258 0.903129 
Instance(332): 	 3.732849 4.405212 0.999056 
Instance(333): 	 3.336243 4.404114 0.944108 
Instance(334): 	 3.639465 4.323914 0.999729 
Instance(335): 	 3.629578 4.394226 0.998992 
Instance(336): 	 3.679016 4.256897 0.999970 
Instance(337): 	 3.768005 4.556824 0.971428 
Instance(338): 	 3.530701 4.500793 0.990422 
Instance(339): 	 4.125061 4.450256 0.985440 
Instance(340): 	 3.883362 4.128357 1.000000 
Instance(341): 	 3.758118 4.241516 1.000000 
Instance(342): 	 3.861389 4.465637 0.993279 
Instance(343): 	 3.749329 4.273376 0.999998 
Instance(344): 	 3.916321 4.326111 0.999991 
Instance(345): 	 4.125061 4.427185 0.995196 
Instance(346): 	 3.856995 4.266785 1.000000 
Instance(347): 	 3.917419 4.644714 0.849154 
Instance(348): 	 3.503235 4.334900 0.992175 
Instance(349): 	 3.822937 4.706238 0.833534 
Instance(350): 	 3.695496 4.422791 0.998428 
Instance(351): 	 3.985535 4.206360 1.000000 
Instance(352): 	 3.981140 4.586487 0.887285 
Instance(353): 	 4.050354 4.340393 0.999996 
